Watchlist 'NDX 2DTE'

NDX 2DTE
Symbol,Last,PTS,Sell-Pressure %,Flow Press STATE,GEX PROXY $M,OI Market Val $M,Vol/OI turnover,SESS GRS Prem $M,Fresh GRS Prem$M,Dollar Flow $M,Net Prem,REC Flow Con,Score,Session flow con,High,Underlying Move ,Low,Net Chng,%Change,Open.Int,Volume,Mark,Bid,Ask
.NDXP260615C29850,120.65,214.1,NaN,INSUFFICIENT_DATA,NaN,0.12,3.0,0.39,0.1,NaN,NaN,NaN,LOW | NaN,NaN,151.10,NaN,97.30,+88.15,+271.23%,10,30,121.800,112.20,131.40
.NDXP260615C29870,99.20,234.1,NaN,INSUFFICIENT_DATA,0.62,0.01,1.0,NaN,NaN,NaN,NaN,NaN,LOW | NaN,NaN,99.20,NaN,99.20,+62.55,+170.67%,1,1,114.250,105.00,123.50
.NDXP260615P29390,107.57,245.9,NaN,INSUFFICIENT_DATA,-3.58,0.06,2.0,0.19,0.15,NaN,NaN,NaN,LOW | 20,NaN,344.20,0.02,107.57,-212.73,-66.42%,6,12,102.550,93.10,112.00
.NDXP260615P29380,113.50,255.9,NaN,INSUFFICIENT_DATA,NaN,0.17,0.9,0.41,0.45,NaN,NaN,NaN,LOW | NaN,NaN,360.65,1.37,113.50,-213.84,-65.33%,15,13,100.800,91.90,109.70
.NDXP260615P29370,107.80,265.9,NaN,INSUFFICIENT_DATA,-5.82,0.11,1.4,0.46,0.46,NaN,NaN,NaN,LOW | 20,NaN,355.65,1.42,107.80,-293.11,-73.11%,10,14,97.800,88.00,107.60
.NDXP260615P29360,103.20,275.9,NaN,INSUFFICIENT_DATA,NaN,0.08,2.6,0.22,NaN,NaN,NaN,NaN,LOW | NaN,NaN,105.30,NaN,103.20,-341.05,-76.77%,8,21,95.900,86.00,105.80
.NDXP260615P29350,122.50,285.9,NaN,INSUFFICIENT_DATA,-1.13,0.02,7.5,0.19,0.07,NaN,NaN,NaN,LOW | 35,NaN,209.48,-0.39,108.76,-412.05,-77.08%,2,15,94.600,85.30,103.90
.NDXP260615C29930,89.10,294.1,76.0,CALL_SELL_PRESSURE,NaN,0.01,213.0,1.72,1.71,-0.88,-0.88,NaN,NO DATA,NaN,90.20,0.13,79.00,+63.10,+242.69%,1,213,91.950,83.90,100.00
.NDXP260615C29950,73.00,314.1,NaN,INSUFFICIENT_DATA,4.66,0.06,1.5,0.13,0.05,NaN,NaN,NaN,LOW | 21,NaN,155.75,0.07,69.00,-73.00,-50.00%,8,12,85.600,77.20,94.00
.NDXP260615C29960,70.10,324.1,NaN,INSUFFICIENT_DATA,NaN,0.04,1.6,0.08,0.08,NaN,NaN,NaN,LOW | 35,NaN,122.35,1.42,70.10,-5.20,-6.91%,5,8,81.950,73.90,90.00
.NDXP260615P29300,85.05,335.9,NaN,INSUFFICIENT_DATA,-2.1,0.03,3.5,0.18,0.06,NaN,NaN,NaN,LOW | 27,NaN,355.95,-0.1,85.05,-528.45,-86.14%,4,14,84.050,74.80,93.30
.NDXP260615P29290,105.50,345.9,NaN,INSUFFICIENT_DATA,-1.03,0.02,1.0,0.02,0.28,NaN,NaN,NaN,LOW | NaN,NaN,105.50,NaN,97.02,-636.00,-85.77%,2,2,82.600,73.20,92.00
.NDXP260615C29990,70.00,354.1,NaN,INSUFFICIENT_DATA,0.56,0.01,6.0,0.04,0.05,NaN,NaN,NaN,LOW | NaN,NaN,72.82,1.39,61.80,+.35,+0.50%,1,6,72.850,64.50,81.20
.NDXP260615C30000,65.10,364.1,NaN,INSUFFICIENT_DATA,8.33,0.1,4.8,0.53,0.04,NaN,NaN,NaN,LOW | 9,NaN,123.40,0.0,56.75,-64.45,-49.75%,15,72,68.200,61.40,75.00
.NDXP260615P29270,97.90,365.9,56.0,MIXED,-7.03,0.14,1.7,0.32,0.65,0.07,-0.07,NaN,NO DATA,NaN,185.46,NaN,97.90,-154.00,-61.14%,14,24,78.900,69.80,88.00
.NDXP260615C30010,57.00,374.1,NaN,INSUFFICIENT_DATA,0.54,0.01,11.0,0.09,0.08,NaN,NaN,NaN,LOW | NaN,NaN,117.90,0.94,56.10,+32.70,+134.57%,1,11,67.350,58.70,76.00
.NDXP260615C30030,57.31,394.1,NaN,INSUFFICIENT_DATA,NaN,0.01,12.0,0.08,0.05,NaN,NaN,NaN,LOW | 29,NaN,82.00,NaN,52.00,+41.15,+254.64%,1,12,61.600,53.20,70.00
.NDXP260615P29240,95.76,395.9,NaN,INSUFFICIENT_DATA,-0.48,0.01,4.0,0.07,0.12,NaN,NaN,NaN,LOW | NaN,NaN,275.60,NaN,92.20,-407.09,-80.96%,1,4,73.600,64.00,83.20
.NDXP260615P29230,96.07,405.9,NaN,INSUFFICIENT_DATA,-2.36,0.05,1.6,0.15,0.27,NaN,NaN,NaN,LOW | NaN,NaN,283.71,NaN,96.07,-143.59,-59.91%,5,8,71.850,62.00,81.70
.NDXP260615C30050,52.45,414.1,NaN,INSUFFICIENT_DATA,1.03,0.01,9.0,0.12,0.04,NaN,NaN,NaN,LOW | 9,NaN,112.75,0.02,46.80,+36.00,+218.84%,2,18,56.050,48.10,64.00
.NDXP260615C30070,43.55,434.1,NaN,INSUFFICIENT_DATA,0.5,0.0,7.0,0.04,0.03,NaN,NaN,NaN,LOW | 29,NaN,80.70,NaN,43.30,-6.65,-13.25%,1,7,51.750,43.50,60.00
.NDXP260615C30080,41.40,444.1,NaN,INSUFFICIENT_DATA,0.49,0.0,3.0,0.02,NaN,NaN,NaN,NaN,LOW | NaN,NaN,89.58,NaN,41.40,+27.40,+195.71%,1,3,49.400,40.80,58.00
.NDXP260615P29180,85.80,455.9,NaN,INSUFFICIENT_DATA,-5.67,0.11,0.7,0.13,0.14,NaN,NaN,NaN,LOW | 20,NaN,255.04,0.51,85.80,-150.90,-63.75%,13,9,63.750,54.10,73.40
.NDXP260615P29170,133.82,465.9,NaN,INSUFFICIENT_DATA,-2.58,0.08,1.3,0.1,NaN,NaN,NaN,NaN,LOW | NaN,NaN,133.82,NaN,99.86,-97.93,-42.26%,6,8,62.450,52.90,72.00
.NDXP260615P29150,60.00,485.9,NaN,INSUFFICIENT_DATA,-11.69,0.17,0.8,0.25,0.04,NaN,NaN,NaN,LOW | 29,NaN,240.00,-0.24,60.00,-171.61,-74.09%,28,21,56.000,50.00,62.00
.NDXP260615P29120,55.80,515.9,NaN,INSUFFICIENT_DATA,-2.37,0.03,0.5,0.02,0.29,NaN,NaN,NaN,LOW | NaN,NaN,62.76,NaN,53.35,-246.44,-81.54%,6,3,55.600,46.00,65.20
.NDXP260615C30160,27.80,524.1,NaN,INSUFFICIENT_DATA,2.08,0.01,0.4,0.01,0.02,NaN,NaN,NaN,LOW | 24,NaN,43.72,3.61,27.80,+10.00,+56.18%,5,2,33.400,24.80,42.00
.NDXP260615P29100,59.93,535.9,NaN,INSUFFICIENT_DATA,-3.43,0.05,10.9,0.75,0.08,NaN,NaN,NaN,LOW | 15,NaN,248.10,0.07,55.45,-143.97,-70.61%,9,98,53.450,44.00,62.90
.NDXP260615C30180,30.25,544.1,NaN,INSUFFICIENT_DATA,1.19,0.01,1.0,0.01,0.03,NaN,NaN,NaN,LOW | 29,NaN,64.70,3.31,30.25,-36.65,-54.78%,3,3,30.650,21.30,40.00
.NDXP260615C30190,28.33,554.1,NaN,INSUFFICIENT_DATA,0.39,0.0,12.0,0.04,0.03,NaN,NaN,NaN,LOW | 9,NaN,50.80,0.0,23.70,-37.77,-57.14%,1,12,28.850,19.70,38.00
.NDXP260615C30200,27.01,564.1,NaN,INSUFFICIENT_DATA,NaN,0.02,15.2,0.32,0.04,NaN,NaN,NaN,LOW | 21,NaN,50.41,0.08,23.40,-35.29,-56.65%,6,91,27.100,18.20,36.00
.NDXP260615P29070,65.88,565.9,NaN,INSUFFICIENT_DATA,-2.54,0.05,0.6,0.05,0.15,NaN,NaN,NaN,LOW | 20,NaN,198.00,4.12,65.88,-129.82,-66.34%,7,4,50.150,40.60,59.70
.NDXP260615C30210,21.20,574.1,NaN,INSUFFICIENT_DATA,0.37,0.0,32.0,0.13,0.02,NaN,NaN,NaN,LOW | 4,NaN,61.40,-0.03,21.20,-40.70,-65.75%,1,32,25.200,16.40,34.00
.NDXP260615P29060,64.53,575.9,NaN,INSUFFICIENT_DATA,-4.27,0.08,0.2,NaN,0.21,NaN,NaN,NaN,LOW | 20,NaN,64.53,NaN,64.53,-128.34,-66.54%,12,2,49.700,40.00,59.40
.NDXP260615P29130,68.00,505.9,NaN,INSUFFICIENT_DATA,-0.4,0.01,6.0,0.04,NaN,NaN,NaN,NaN,LOW | NaN,NaN,70.15,NaN,68.00,-157.09,-69.79%,1,6,57.150,48.00,66.30
.NDXP260615P29140,58.20,495.9,NaN,INSUFFICIENT_DATA,-2.45,0.03,1.5,0.07,0.08,NaN,NaN,NaN,LOW | NaN,NaN,170.03,1.41,55.85,-251.81,-81.23%,6,9,58.000,48.20,67.80
.NDXP260615P29160,86.00,475.9,NaN,INSUFFICIENT_DATA,-5.06,0.1,0.8,0.12,0.13,NaN,NaN,NaN,LOW | 20,NaN,180.00,0.3,86.00,-150.02,-63.56%,12,9,61.300,52.00,70.60
.NDXP260615P29200,66.64,435.9,NaN,INSUFFICIENT_DATA,-17.11,0.25,0.8,0.3,0.08,NaN,NaN,NaN,LOW | 15,NaN,263.08,0.15,66.64,-176.91,-72.64%,38,29,67.150,58.00,76.30
.NDXP260615P29210,68.17,425.9,NaN,INSUFFICIENT_DATA,-3.67,0.05,1.6,0.22,0.12,NaN,NaN,NaN,LOW | 20,NaN,203.38,0.61,68.17,-164.68,-70.72%,8,13,67.850,58.90,76.80
.NDXP260615P29250,100.30,NaN,NaN,INSUFFICIENT_DATA,-7.81,0.16,0.9,0.29,0.18,NaN,NaN,NaN,LOW | 20,NaN,307.90,1.12,90.65,-139.35,-58.15%,16,14,74.500,65.00,84.00
.NDXP260615P29400,107.76,NaN,NaN,INSUFFICIENT_DATA,-7.29,0.13,4.3,0.82,0.17,NaN,NaN,NaN,LOW | 20,NaN,258.60,0.05,107.76,-188.09,-63.58%,12,52,103.950,94.00,113.90
.NDXP260615P29500,137.46,135.9,NaN,INSUFFICIENT_DATA,-6.82,0.14,5.3,1.18,0.17,NaN,NaN,NaN,LOW | 24,NaN,408.00,0.06,134.31,-203.99,-59.74%,10,53,131.300,122.00,140.60
.NDXP260615C29750,162.00,114.1,NaN,INSUFFICIENT_DATA,3.82,0.1,4.5,0.4,0.2,NaN,NaN,NaN,LOW | NaN,NaN,212.46,NaN,125.20,+111.22,+219.02%,6,27,167.900,158.00,177.80
.NDXP260615C29860,102.50,NaN,NaN,INSUFFICIENT_DATA,0.62,0.01,1.0,NaN,NaN,NaN,NaN,NaN,LOW | NaN,NaN,102.50,NaN,102.50,+64.80,+171.88%,1,1,118.150,109.10,127.20
.NDXP260615C29900,98.60,NaN,NaN,INSUFFICIENT_DATA,NaN,0.17,2.4,0.47,0.1,NaN,NaN,NaN,LOW | 15,NaN,176.75,-0.08,84.25,-71.40,-42.00%,17,41,102.250,92.50,112.00
.NDXP260615C30020,54.50,NaN,NaN,INSUFFICIENT_DATA,1.08,0.01,2.0,0.02,0.07,NaN,NaN,NaN,LOW | 35,NaN,114.90,NaN,54.50,-76.79,-58.49%,2,4,63.900,55.80,72.00
.NDXP260615C30100,45.25,NaN,NaN,INSUFFICIENT_DATA,3.78,0.04,14.1,0.64,0.05,NaN,NaN,NaN,LOW | NaN,NaN,101.00,-0.03,36.27,-50.90,-52.94%,8,113,44.750,36.10,53.40
.NDXP260615C30150,35.00,NaN,NaN,INSUFFICIENT_DATA,1.71,0.01,5.3,0.08,0.02,NaN,NaN,NaN,LOW | 29,NaN,61.20,0.14,28.33,-26.00,-42.62%,4,21,35.250,26.50,44.00
.NDXP260615C30220,20.00,NaN,NaN,INSUFFICIENT_DATA,0.36,0.0,29.0,0.13,0.02,NaN,NaN,NaN,LOW | 4,NaN,70.00,-0.07,20.00,-40.10,-66.72%,1,29,24.200,14.40,34.00
