Watchlist 'SPX WL 1DTE'

SPX WL 1DTE
Symbol,Last,PTS,Vol/OI Ratio,Sell %,FLOW STATE,Dollar Flow $M,GEX,OI $M,Fresh Prem $M,FNPF $M,DWF,0DTE Delta,Net Dominance,Gamma Trap
.SPXW260612C7495,5.40,100.7,2.03,66.27,BEAR_CALL_SELL,NaN,173.58,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7440,17.57,45.7,7.97,47.09,BEAR_CALL_SELL,NaN,172.15,NaN,0.03,-0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7490,6.10,95.7,2.73,68.9,BEAR_CALL_SELL,NaN,152.66,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7515,3.34,120.7,1.55,70.46,BEAR_CALL_SELL,NaN,128.52,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7505,4.24,110.7,1.85,68.3,BEAR_CALL_SELL,NaN,120.72,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7415,28.51,20.7,7.4,40.54,BEAR_CALL_SELL,NaN,117.47,NaN,0.03,-0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7460,11.80,65.7,14.23,46.75,BEAR_CALL_SELL,NaN,111.57,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7445,16.00,50.7,4.41,49.69,BEAR_CALL_SELL,NaN,107.55,NaN,0.01,-0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7510,3.80,115.7,5.6,61.15,BEAR_CALL_SELL,NaN,102.68,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7520,3.00,125.7,2.65,71.71,BEAR_CALL_SELL,NaN,96.28,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7435,19.70,40.7,7.84,46.55,BEAR_CALL_SELL,NaN,95.29,NaN,0.05,0.04,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7535,2.10,140.7,6.67,53.47,BEAR_CALL_SELL,NaN,93.82,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7485,7.00,90.7,4.38,58.81,BEAR_CALL_SELL,NaN,76.14,NaN,0.02,-0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7530,2.29,135.7,2.2,76.71,BEAR_CALL_SELL,NaN,63.57,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7255,4.40,139.3,4.9,66.09,BULL_PUT_SELL,NaN,-30.3,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7265,4.70,129.3,4.33,65.66,BULL_PUT_SELL,NaN,-43.57,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7270,5.09,124.3,4.27,64.86,BULL_PUT_SELL,NaN,-70.28,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7315,9.70,79.3,5.7,69.55,BULL_PUT_SELL,NaN,-80.35,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7285,6.40,109.3,3.33,63.92,BULL_PUT_SELL,NaN,-84.43,NaN,0.01,-0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7290,6.70,104.3,4.31,69.4,BULL_PUT_SELL,NaN,-96.7,NaN,0.02,-0.02,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7310,9.15,84.3,4.08,67.86,BULL_PUT_SELL,NaN,-106.04,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7280,5.78,114.3,3.87,62.67,BULL_PUT_SELL,NaN,-108.0,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7260,4.40,134.3,3.31,73.79,BULL_PUT_SELL,NaN,-108.92,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7295,7.40,99.3,2.86,60.05,BULL_PUT_SELL,NaN,-117.7,NaN,0.01,0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7330,12.24,64.3,3.42,58.71,BULL_PUT_SELL,NaN,-121.02,NaN,0.01,0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7305,8.40,89.3,1.98,65.56,BULL_PUT_SELL,NaN,-137.57,NaN,0.02,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7360,19.68,34.3,3.17,62.58,BULL_PUT_SELL,NaN,-157.25,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7355,18.25,39.3,2.55,55.07,BULL_PUT_SELL,NaN,-174.17,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7390,29.00,4.3,3.73,65.35,BULL_PUT_SELL,NaN,-174.33,NaN,0.09,-0.03,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7335,13.47,59.3,1.97,65.19,BULL_PUT_SELL,NaN,-213.19,NaN,0.02,-0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7340,14.54,54.3,1.81,49.32,BULL_PUT_SELL,NaN,-228.37,NaN,0.25,0.07,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7380,26.00,14.3,2.31,59.08,BULL_PUT_SELL,NaN,-242.81,NaN,0.06,0.04,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7385,27.60,9.3,1.25,45.9,BULL_PUT_SELL,NaN,-272.05,NaN,0.03,-0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7275,5.41,119.3,2.06,60.07,BULL_PUT_SELL,NaN,-349.01,NaN,0.43,-0.15,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7250,3.80,144.3,2.57,55.58,BULL_PUT_SELL,NaN,-350.46,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7325,11.28,69.3,1.05,41.77,BULL_PUT_SELL,NaN,-461.84,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7345,15.44,49.3,1.03,61.81,BULL_PUT_SELL,NaN,-526.37,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7375,24.12,19.3,1.18,51.5,BULL_PUT_SELL,NaN,-646.15,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7370,22.23,24.3,1.55,56.71,BULL_PUT_SELL,NaN,-652.35,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7320,10.62,74.3,1.13,66.48,BULL_PUT_SELL,NaN,-675.2,NaN,0.02,-0.02,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7300,7.80,94.3,2.18,50.5,BULL_PUT_SELL,NaN,-787.65,NaN,0.03,-0.02,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612P7350,16.56,44.3,1.44,51.95,BULL_PUT_SELL,NaN,-1299.59,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
